6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm,12am,1am,2am,3am,4am,5am
white,white,white,yellow,yellow,orange,orange,red,red,white,white,white,white,white,white,white,white,black,black,black,black,black,black,black
white,white,white,yellow,yellow,orange,orange,red,red,white,white,white,white,white,white,white,white,black,black,black,black,black,black,black
white,white,white,yellow,yellow,orange,orange,red,red,white,white,white,white,white,white,white,white,black,black,black,black,black,black,black
white,white,white,yellow,yellow,orange,orange,red,red,white,white,white,white,white,white,white,white,black,black,black,black,black,black,black
white,white,white,yellow,yellow,orange,orange,red,red,white,white,white,white,white,white,white,white,black,black,black,black,black,black,black
white,white,white,yellow,yellow,orange,orange,red,red,white,white,white,white,white,white,white,white,black,black,black,black,black,black,black
white,white,white,yellow,yellow,orange,orange,red,red,white,white,white,white,white,white,white,white,black,black,black,black,black,black,black
white,free
black,sleep
red,fun
orange,more fun
yellow,more more fun
